Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
COURSE DETAIL PAGE ,BMS-31,10176,Epic,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 2:45 PM,02/Apr/26 2:45 PM,,,16/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38ecfe68,,,,,ghx-label-10,,To Do,,,,blue,,,,,0|i000hb:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 2:45 PM
AS A USER I SHOULD BE ABLE TO VIEW THE  DETAIL OF COURSE PAGE,BMS-32,10177,Story,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 2:47 PM,02/Apr/26 2:47 PM,,,16/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3646712f,,,,,,,,,,,,,,,,0|i000hj:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10176,BMS-31,COURSE DETAIL PAGE ,To Do,02/Apr/26 2:47 PM
WRITE FUNCTIONALITY TEST CASE FOR COURSE DETAIL PAGE,BMS-33,10178,Task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,High,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 2:49 PM,02/Apr/26 2:53 PM,02/Apr/26 2:49 PM,,04/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@25c3bfb9,,,,,,,,,,,,,,,,0|i000hr:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10176,BMS-31,COURSE DETAIL PAGE ,To Do,02/Apr/26 2:49 PM
WRITE TEST CASE FOR COURSE INFORMATION,BMS-34,10180,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 2:50 PM,02/Apr/26 2:50 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a03012f,,,,,,,,,,,,,,,,0|i000hz:,,,BMS Sprint 1,,,,,,,,,,,,10178,BMS-33,WRITE FUNCTIONALITY TEST CASE FOR COURSE DETAIL PAGE,To Do,02/Apr/26 2:50 PM
WRITE TEST CASE FOR VIDEO PREVIEW,BMS-35,10182,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 2:50 PM,02/Apr/26 2:50 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@24cbbdb6,,,,,,,,,,,,,,,,0|i000i7:,,,BMS Sprint 1,,,,,,,,,,,,10178,BMS-33,WRITE FUNCTIONALITY TEST CASE FOR COURSE DETAIL PAGE,To Do,02/Apr/26 2:50 PM
WRITE TEST CASE FOR ENROLL NOW BUTTON,BMS-36,10184,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 2:50 PM,02/Apr/26 2:50 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@103dbe11,,,,,,,,,,,,,,,,0|i000if:,,,BMS Sprint 1,,,,,,,,,,,,10178,BMS-33,WRITE FUNCTIONALITY TEST CASE FOR COURSE DETAIL PAGE,To Do,02/Apr/26 2:50 PM
MY COURSES,BMS-37,10185,Epic,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 2:52 PM,02/Apr/26 2:52 PM,,,16/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15776a99,,,,,ghx-label-3,,To Do,,,,yellow,,,,,0|i000in:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 2:52 PM
ASA USER I SHOULD BE ABLE TO VIEW MY COURSES,BMS-38,10186,Story,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 2:53 PM,02/Apr/26 2:53 PM,02/Apr/26 2:54 PM,,16/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d7136f9,,,,,,,,,,,,,,,,0|i000iv:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10185,BMS-37,MY COURSES,To Do,02/Apr/26 2:53 PM
WRITE FUNCTIONALITY TEST CASE FOR MY COURSES,BMS-39,10187,Task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 2:54 PM,02/Apr/26 2:57 PM,02/Apr/26 2:58 PM,,04/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f994c5c,,,,,,,,,,,,,,,,0|i000j3:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10185,BMS-37,MY COURSES,To Do,02/Apr/26 2:54 PM
WRITE TEST CASE FOR ENROLLED COURSES,BMS-40,10189,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 2:59 PM,02/Apr/26 2:59 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a9afc39,,,,,,,,,,,,,,,,0|i000jb:,,,BMS Sprint 1,,,,,,,,,,,,10187,BMS-39,WRITE FUNCTIONALITY TEST CASE FOR MY COURSES,To Do,02/Apr/26 2:59 PM
