Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
WRITE TEST CASE FOR COURSE PROGRESS,BMS-41,10191,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:00 PM,02/Apr/26 3:00 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@46d343f3,,,,,,,,,,,,,,,,0|i000jj:,,,BMS Sprint 1,,,,,,,,,,,,10187,BMS-39,WRITE FUNCTIONALITY TEST CASE FOR MY COURSES,To Do,02/Apr/26 3:00 PM
WRITE TEST CASE FOR CONTINUE LEARNING,BMS-42,10193,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:00 PM,02/Apr/26 3:00 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@399ee735,,,,,,,,,,,,,,,,0|i000jr:,,,BMS Sprint 1,,,,,,,,,,,,10187,BMS-39,WRITE FUNCTIONALITY TEST CASE FOR MY COURSES,To Do,02/Apr/26 3:00 PM
REVIEWS AND RATING,BMS-43,10194,Epic,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:01 PM,02/Apr/26 3:01 PM,,,16/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58868fbf,,,,,ghx-label-14,,To Do,,,,dark_orange,,,,,0|i000jz:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 3:01 PM
AS A USER I SHOULD BE ABLE TO REVIEW AND GIVE RATING,BMS-44,10195,Story,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:02 PM,02/Apr/26 3:02 PM,,,16/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65c0dc0a,,,,,,,,,,,,,,,,0|i000k7:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10194,BMS-43,REVIEWS AND RATING,To Do,02/Apr/26 3:02 PM
WRITE FUNCTIONALITY TEST CASE FOR REVIEW AND RATING MODULE,BMS-45,10196,Task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,High,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:03 PM,02/Apr/26 3:19 PM,02/Apr/26 3:16 PM,,04/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3950dc08,,,,,,,,,,,,,,,,0|i000kf:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10194,BMS-43,REVIEWS AND RATING,To Do,02/Apr/26 3:03 PM
WRITE TEST CASE FOR ADD REVIEW,BMS-46,10198,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:16 PM,02/Apr/26 3:16 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77393a95,,,,,,,,,,,,,,,,0|i000kn:,,,BMS Sprint 1,,,,,,,,,,,,10196,BMS-45,WRITE FUNCTIONALITY TEST CASE FOR REVIEW AND RATING MODULE,To Do,02/Apr/26 3:16 PM
WRITE TEST CASE FOR VIEW REVIEWS,BMS-47,10200,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:17 PM,02/Apr/26 3:17 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a996c4b,,,,,,,,,,,,,,,,0|i000kv:,,,BMS Sprint 1,,,,,,,,,,,,10196,BMS-45,WRITE FUNCTIONALITY TEST CASE FOR REVIEW AND RATING MODULE,To Do,02/Apr/26 3:17 PM
VIDEO PLAYER,BMS-48,10201,Epic,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:18 PM,02/Apr/26 3:18 PM,,,16/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@595acbe6,,,,,ghx-label-12,,To Do,,,,grey,,,,,0|i000l3:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 3:18 PM
AS A USER I SHOULD BE ABLE TO PLAY VIDEO,BMS-49,10202,Story,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:19 PM,02/Apr/26 3:19 PM,,,16/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66d5eba8,,,,,,,,,,,,,,,,0|i000lb:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10201,BMS-48,VIDEO PLAYER,To Do,02/Apr/26 3:19 PM
WRITE FUNCTIONALITY TEST CASE FOR VIDEO PLAYER MODULE,BMS-50,10203,Task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Highest,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:21 PM,02/Apr/26 3:22 PM,02/Apr/26 3:21 PM,,04/Apr/26 12:00 AM,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61cffe91,,,,,,,,,,,,,,,,0|i000lj:,,,BMS Sprint 1,02/Apr/26 12:00 AM,,,,,,,,,,,10201,BMS-48,VIDEO PLAYER,To Do,02/Apr/26 3:21 PM
WRITE TEST CASE FO LECTURE PLAYBACKR,BMS-51,10205,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:21 PM,02/Apr/26 3:21 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@104533e6,,,,,,,,,,,,,,,,0|i000lr:,,,BMS Sprint 1,,,,,,,,,,,,10203,BMS-50,WRITE FUNCTIONALITY TEST CASE FOR VIDEO PLAYER MODULE,To Do,02/Apr/26 3:21 PM
WRITE TEST CASE FOR PROGRESS TRACKING,BMS-52,10207,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:22 PM,02/Apr/26 3:22 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fcfde02,,,,,,,,,,,,,,,,0|i000lz:,,,BMS Sprint 1,,,,,,,,,,,,10203,BMS-50,WRITE FUNCTIONALITY TEST CASE FOR VIDEO PLAYER MODULE,To Do,02/Apr/26 3:22 PM
WRITE TEST CASE FOR NEXT LECTURE,BMS-53,10209,Sub-task,To Do,BMS,BMS,software,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,Medium,,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,02/Apr/26 3:22 PM,02/Apr/26 3:22 PM,,,,0,,,Tamanna Singh,712020:f36640ce-590b-413f-8bc9-e2cbc3108adf,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@568ef7d0,,,,,,,,,,,,,,,,0|i000m7:,,,BMS Sprint 1,,,,,,,,,,,,10203,BMS-50,WRITE FUNCTIONALITY TEST CASE FOR VIDEO PLAYER MODULE,To Do,02/Apr/26 3:22 PM
